2016-02-26 10:40:59:  Current laser state: [S1]
2016-02-26 10:41:07:  Are we on? [S1]
2016-02-26 10:41:14:  level=0
2016-02-26 10:41:14:  power=409
2016-02-26 10:41:14:  power level=PP199
2016-02-26 10:41:14:  Power response [PP199]
2016-02-26 10:41:16:  Turning laser ON.
2016-02-26 10:41:16:  Enable response: [LONOK]
2016-02-26 10:41:17:  L2 response: [>]
2016-02-26 10:41:18:  Enable-internal peak power response: [IPO]
2016-02-26 10:41:18:  MF response [MF]
2016-02-26 10:41:19:  Are we on? [S2]
2016-02-26 10:41:31:  level=1
2016-02-26 10:41:31:  power=4095
2016-02-26 10:41:31:  power level=PPFFF
2016-02-26 10:41:32:  Power response [PPFFF]
2016-02-26 10:41:45:  level=0
2016-02-26 10:41:45:  power=1023
2016-02-26 10:41:45:  power level=PP3FF
2016-02-26 10:41:46:  Power response [PP3FF]
2016-02-26 10:41:53:  level=0
2016-02-26 10:41:53:  power=614
2016-02-26 10:41:53:  power level=PP266
2016-02-26 10:41:54:  Power response [PP266]
2016-02-26 11:34:52:  Are we on? [S2]
2016-02-26 11:34:59:  level=0
2016-02-26 11:34:59:  power=614
2016-02-26 11:34:59:  power level=PP266
2016-02-26 11:34:59:  Power response [PP266]
2016-02-26 13:16:16:  Are we on? [S2]
2016-02-26 13:16:16:  Turning laser OFF.
2016-02-26 13:16:34:  Turning laser ON.
2016-02-26 13:16:34:  Enable response: [LONOK]
2016-02-26 13:16:35:  L2 response: [>]
2016-02-26 13:16:36:  Enable-internal peak power response: [IPO]
2016-02-26 13:16:36:  MF response [MF]
2016-02-26 13:16:37:  Are we on? [S2]
2016-02-26 13:17:26:  level=0
2016-02-26 13:17:26:  power=409
2016-02-26 13:17:26:  power level=PP199
2016-02-26 13:17:27:  Power response [PP199]
2016-02-26 13:58:32:  Are we on? [S2]
2016-02-26 13:58:32:  Turning laser OFF.
2016-02-26 13:58:44:  Turning laser ON.
2016-02-26 13:58:45:  Enable response: [LONOK]
2016-02-26 13:58:45:  L2 response: [>]
2016-02-26 13:58:46:  Enable-internal peak power response: [IPO]
2016-02-26 13:58:47:  MF response [MF]
2016-02-26 13:58:48:  Are we on? [S2]
2016-02-26 14:22:40:  Turning laser OFF.
2016-02-26 14:24:14:  Are we on? [S1]
2016-02-26 14:24:23:  level=0
2016-02-26 14:24:23:  power=409
2016-02-26 14:24:23:  power level=PP199
2016-02-26 14:24:23:  Power response [PP199]
2016-02-26 14:24:34:  Turning laser ON.
2016-02-26 14:24:35:  Enable response: [LONOK]
2016-02-26 14:24:35:  L2 response: [>]
2016-02-26 14:24:36:  Enable-internal peak power response: [IPO]
2016-02-26 14:24:37:  MF response [MF]
2016-02-26 14:24:37:  Are we on? [S2]
2016-02-26 15:17:52:  level=0
2016-02-26 15:17:52:  power=819
2016-02-26 15:17:52:  power level=PP333
2016-02-26 15:17:53:  Power response [PP333]
2016-02-26 16:17:17:  Turning laser OFF.
2016-02-26 16:47:02:  Are we on? [S1]
2016-02-26 16:47:15:  level=0
2016-02-26 16:47:15:  power=819
2016-02-26 16:47:15:  power level=PP333
2016-02-26 16:47:16:  Power response [PP333]
2016-02-26 16:50:21:  Turning laser OFF.
2016-02-29 10:10:30:  Are we on? [S1]
2016-02-29 10:10:48:  level=0
2016-02-29 10:10:48:  power=819
2016-02-29 10:10:48:  power level=PP333
2016-02-29 10:10:49:  Power response [PP333]
2016-02-29 10:19:14:  Turning laser ON.
2016-02-29 10:19:15:  Enable response: [UK]
2016-02-29 10:19:15:  L2 response: [>]
2016-02-29 10:19:16:  Enable-internal peak power response: [IPO]
2016-02-29 10:19:17:  MF response [MF]
2016-02-29 10:19:18:  Are we on? [S2]
2016-02-29 10:19:47:  Are we on? [S2]
2016-02-29 10:19:47:  Turning laser OFF.
2016-02-29 10:21:19:  Turning laser ON.
2016-02-29 10:21:19:  Enable response: [LONOK]
2016-02-29 10:21:20:  L2 response: [>]
2016-02-29 10:21:21:  Enable-internal peak power response: [IPO]
